,symbols,date,close,open,max_price,min_price
3180,VHM,2021-12-09,81600.0,81100.0,81800.0,80600.0
3181,HPG,2021-12-09,47100.0,46900.0,47300.0,46800.0
3182,FPT,2021-12-09,97000.0,95100.0,97000.0,95100.0
3183,TCB,2021-12-09,50400.0,50000.0,50400.0,49850.0
3184,POW,2021-12-09,15450.0,15000.0,15600.0,14950.0
3185,TCB,2021-12-08,50000.0,50200.0,50800.0,49900.0
3186,HPG,2021-12-08,47200.0,47900.0,47900.0,47050.0
3187,VHM,2021-12-08,81000.0,81700.0,81800.0,80900.0
3188,POW,2021-12-08,15100.0,15450.0,15700.0,15050.0
3189,FPT,2021-12-08,95600.0,96500.0,96500.0,95000.0
3190,VHM,2021-12-07,81600.0,80600.0,81800.0,80200.0
3191,TCB,2021-12-07,50000.0,49600.0,50300.0,49350.0
3192,FPT,2021-12-07,96000.0,95000.0,96000.0,94500.0
3193,HPG,2021-12-07,47600.0,46450.0,47600.0,46000.0
3194,POW,2021-12-07,14850.0,14100.0,14850.0,14100.0
3195,VHM,2021-12-06,79700.0,80900.0,81100.0,79400.0
3196,HPG,2021-12-06,45750.0,47500.0,47950.0,45500.0
3197,POW,2021-12-06,13900.0,13800.0,14300.0,13550.0
3198,FPT,2021-12-06,94500.0,95500.0,96500.0,94200.0
3199,TCB,2021-12-06,49000.0,50300.0,51000.0,48650.0
3200,TCB,2021-12-03,50200.0,52000.0,52200.0,50200.0
3201,FPT,2021-12-03,95500.0,97800.0,97800.0,95500.0
3202,VHM,2021-12-03,80200.0,82600.0,83100.0,80200.0
3203,HPG,2021-12-03,47700.0,48800.0,49150.0,47700.0
3204,POW,2021-12-03,13550.0,14200.0,14350.0,13550.0
3205,HPG,2021-12-02,48600.0,49200.0,49250.0,48600.0
3206,FPT,2021-12-02,97200.0,97600.0,98300.0,97200.0
3207,TCB,2021-12-02,51700.0,52400.0,52600.0,51700.0
3208,POW,2021-12-02,14150.0,14000.0,14650.0,14000.0
3209,VHM,2021-12-02,82300.0,83200.0,83400.0,82300.0
3210,POW,2021-12-01,14000.0,13500.0,14150.0,13500.0
3211,FPT,2021-12-01,98200.0,97500.0,98600.0,96700.0
3212,HPG,2021-12-01,49000.0,49500.0,49500.0,48900.0
3213,TCB,2021-12-01,52400.0,51600.0,52400.0,51500.0
3214,VHM,2021-12-01,82900.0,84200.0,84500.0,82800.0
3215,POW,2021-11-30,13500.0,13650.0,13900.0,13400.0
3216,HPG,2021-11-30,48950.0,48950.0,49950.0,48500.0
3217,VHM,2021-11-30,84600.0,85500.0,85500.0,83000.0
3218,TCB,2021-11-30,51800.0,53100.0,53100.0,51500.0
3219,FPT,2021-11-30,97100.0,98100.0,98500.0,97000.0
3220,TCB,2021-11-29,52300.0,53000.0,53400.0,52100.0
3221,VHM,2021-11-29,84800.0,81600.0,84800.0,81600.0
3222,HPG,2021-11-29,48400.0,48200.0,48900.0,48200.0
3223,FPT,2021-11-29,98100.0,97500.0,98900.0,97500.0
3224,POW,2021-11-29,13450.0,13200.0,13650.0,13150.0
3225,FPT,2021-11-26,98900.0,100100.0,100800.0,98800.0
3226,HPG,2021-11-26,49050.0,49300.0,49950.0,49000.0
3227,TCB,2021-11-26,54000.0,55100.0,55500.0,53900.0
